STATE,CLINTON,TRUMP,Diff
Alabama,34.36%,62.08%,0.2773
Alaska,36.55%,51.28%,0.1473
Arizona,45.13%,48.67%,0.0355
Arkansas,33.65%,60.57%,0.2692
California,61.73%,31.62%,-0.3011
Colorado,48.16%,43.25%,-0.0491
Connecticut,54.57%,40.93%,-0.1364
Delaware,53.09%,41.71%,-0.1137
D.C.,90.86%,4.09%,-0.8678
Florida,47.82%,49.02%,0.0120
Georgia,45.64%,50.77%,0.0513
Hawaii,62.22%,30.04%,-0.3218
Idaho,27.49%,59.26%,0.3177
Illinois,55.83%,38.76%,-0.1706
Indiana,37.77%,56.94%,0.1917
Iowa,41.74%,51.15%,0.0941
Kansas,36.05%,56.65%,0.2060
Kentucky,32.68%,62.52%,0.2984
Louisiana,38.45%,58.09%,0.1964
Maine,47.83%,44.87%,-0.0296
Maryland,60.33%,33.91%,-0.2642
Massachusetts,60.01%,32.81%,-0.2720
Michigan,47.27%,47.50%,0.0022
Minnesota,46.44%,44.92%,-0.0152
Mississippi,40.11%,57.94%,0.1783
Missouri,38.14%,56.77%,0.1864
Montana,35.75%,56.17%,0.2042
Nebraska,33.70%,58.75%,0.2505
Nevada,47.92%,45.50%,-0.0242
New Hampshire,46.83%,46.46%,-0.0037
New Jersey,55.45%,41.35%,-0.1410
New Mexico,48.26%,40.04%,-0.0821
New York,59.01%,36.52%,-0.2249
North Carolina,46.17%,49.83%,0.0366
North Dakota,27.23%,62.96%,0.3573
Ohio,43.56%,51.69%,0.0813
Oklahoma,28.93%,65.32%,0.3639
Oregon,50.07%,39.09%,-0.1098
Pennsylvania,47.46%,48.18%,0.0072
Rhode Island,54.41%,38.90%,-0.1551
South Carolina,40.67%,54.94%,0.1427
South Dakota,31.74%,61.53%,0.2979
Tennessee,34.72%,60.72%,0.2601
Texas,43.24%,52.23%,0.0900
Utah,27.46%,45.54%,0.1808
Vermont,56.68%,30.27%,-0.2641
Virginia,49.73%,44.41%,-0.0532
Washington,52.54%,36.83%,-0.1571
West Virginia,26.43%,68.50%,0.4207
Wisconsin,46.45%,47.22%,0.0076
Wyoming,21.88%,68.17%,0.4630
