school,lat,long,conf,tix,guarantees,playing
Cincinnati,39.13128425,-84.51626144, AAC ,3805145,400000,1
ECU,35.5964258,-77.36522913, AAC ,5042424,300000,1
Houston,29.72176796,-95.34909841, AAC ,2683621,300000,1
Memphis,35.12085692,-89.97805741, AAC ,4863513,0,1
Navy,38.98483264,-76.50711536, AAC ,4735062,4347409,1
SMU,32.83771581,-96.78270578, AAC ,-1,-1,1
South Florida,27.97599447,-82.50334918, AAC ,3819569,450000,1
Temple,39.9007489,-75.16749144, AAC ,-1,-1,1
Tulane,29.94589811,-90.11519112, AAC ,-1,-1,1
Tulsa,36.14886068,-95.94360352, AAC ,-1,-1,1
UCF,28.60795886,-81.19299889, AAC ,5052138,200000,1
Connecticut,41.75988428,-72.61894226, AAC ,1687181,900000,0
Boston College,42.33510835,-71.16647243, ACC ,-1,-1,1
Clemson,34.67874666,-82.8431797, ACC ,25953667,0,1
Duke,35.99531665,-78.9417243, ACC ,-1,-1,1
Florida State,30.43754758,-84.30453398, ACC ,17279489,0,1
Georgia Tech,33.77255692,-84.39285278, ACC ,8700002,550000,1
Louisville,38.20542169,-85.75810562, ACC ,16485791,2750000,1
Miami,25.95793374,-80.23884058, ACC ,-1,-1,1
North Carolina,35.90698835,-79.04791832, ACC ,7690751,450000,1
NC State,35.80075968,-78.71948719, ACC ,13998606,300000,1
Pittsburgh,40.44678377,-80.01575589, ACC ,-1,-1,1
Syracuse,43.03613282,-76.13651991, ACC ,-1,-1,1
Virginia,38.03112373,-78.51370811, ACC ,11506754,300000,1
Virginia Tech,37.21997428,-80.41805506, ACC ,17356181,175000,1
Wake Forest,36.09183481,-80.25534153, ACC ,-1,-1,1
Illinois,40.09930573,-88.23598623, B10 ,6109768,0,0
Indiana,39.18090913,-86.52557373, B10 ,6805288,200000,0
Iowa,41.65838894,-91.55147552, B10 ,22251258,0,0
Maryland,38.99120275,-76.94731173, B10 ,5939467,1351545,0
Michigan,42.26586873,-83.74872565, B10 ,46326363,0,0
Michigan State,42.72816912,-84.48487535, B10 ,19783743,400000,0
Minnesota,44.97652497,-93.22457582, B10 ,9398681,0,0
Nebraska,40.82048352,-96.70571566, B10 ,30154974,0,0
Northwestern,42.06539967,-87.69249558, B10 ,-1,-1,0
Ohio State,40.00168569,-83.01972806, B10 ,50550538,5000000,0
Penn State,40.81215273,-77.85620213, B10 ,36831392,300000,0
Purdue,40.434323,-86.918485, B10 ,7990381,0,0
Rutgers,40.51378289,-74.46504457, B10 ,8066397,153555,0
Wisconsin,43.06993803,-89.41274643, B10 ,24016186,0,0
Baylor,31.55866264,-97.11560011, B12 ,-1,-1,1
Iowa State,42.01400541,-93.63580942, B12 ,11598693,0,1
Kansas,38.96294599,-95.246315, B12 ,2746575,200000,1
Kansas State,39.20186362,-96.59379244, B12 ,12349284,0,1
Oklahoma,35.20589959,-97.44255066, B12 ,39528652,500000,1
Oklahoma State,36.12570866,-97.06650496, B12 ,10430072,0,1
TCU,32.70991597,-97.36799598, B12 ,-1,-1,1
Texas,30.2836034,-97.73233652, B12 ,42498959,900000,1
Texas Tech,33.5910283,-101.8729377, B12 ,11020432,0,1
West Virginia,39.65221992,-79.9551753, B12 ,13883995,2861008,1
Charlotte,35.31028068,-80.74049377,CUSA,1070454,1150000,1
FIU,25.75249279,-80.37786484,CUSA,1831195,1350000,1
Florida Atlantic,26.37545356,-80.10168314,CUSA,1085087,500570,1
Louisiana Tech,32.5322381,-92.65601888,CUSA,1194196,1241680,1
Marshall,38.42486536,-82.42185831,CUSA,2108522,1469327,1
Middle Tennessee,35.85110908,-86.36844993, CUSA ,1136926,1150000,1
North Texas,33.20393508,-97.15922356,CUSA,1477456,1000000,1
Old Dominion,36.88878132,-76.3056761,CUSA,2706329,1570000,0
Rice,29.71623403,-95.40926456, CUSA ,-1,-1,1
Southern Miss,31.32897843,-89.33133066,CUSA,1824257,1296400,1
UAB,33.502,86.806, CUSA ,1299950,1900000,1
UTEP,31.77334531,-106.5078968,CUSA,645341,1400000,1
UTSA,29.41693713,-98.47890258, CUSA ,1689290,300000,1
Western Kentucky,36.98487663,-86.45901397,CUSA,1072748,2000000,1
Army,41.38708043,-73.96408081, IND ,-1,-1,1
BYU,40.257488,-111.654439, IND ,-1,-1,1
Liberty,37.354414,-79.175047, IND ,-1,-1,1
New Mexico State,32.27974938,-106.7411363, IND ,565446,2700000,0
Notre Dame,41.69842312,-86.23382449, IND ,-1,-1,1
UMass,42.37751324,-72.53562686, IND ,414619,2350000,0
Akron,41.07256952,-81.50838375, MAC ,289183,3275000,0
Ball State,40.21602764,-85.41769962, MAC ,327208,1800000,0
Bowling Green,41.3780544,-83.62248212, MAC ,1380089,1800000,0
Buffalo,42.99906838,-78.77751946, MAC ,945529,1050000,0
Central Michigan,43.57761228,-84.77082968, MAC ,574662,1150000,0
Eastern Michigan,42.25576071,-83.64775658, MAC ,496855,900000,0
Kent State,41.13908683,-81.31343946, MAC ,570709,3650000,0
Miami (OH),39.51942113,-84.7333545, MAC ,571640,1650000,0
NIU,41.934014,-88.778222, MAC ,603978,2950000,0
Ohio,39.32130908,-82.10343945, MAC ,695797,900000,0
Toledo,41.65739078,-83.61401719, MAC ,1744741,200000,0
Western Michigan,42.28575549,-85.60100421, MAC ,1124646,1350000,0
Air Force,38.99690743,-104.843688, MW ,2673137,1300000,0
Boise State,43.60270805,-116.1959124, MW ,5662146,700000,0
Colorado State,40.56174245,-105.1398437, MW ,5070966,1985121,0
Fresno State,36.8143197,-119.7581016, MW ,5015512,900000,0
Hawaii,21.37278299,-157.9299688, MW ,3090065,750000,0
Nevada,39.54692485,-119.8175597, MW ,3657498,1450000,0
New Mexico,35.06761048,-106.6281028, MW ,949151,1100000,0
San Diego State,32.78305326,-117.1196008, MW ,4606819,450000,0
San Jose State,37.32010519,-121.8681161, MW ,379759,2224025,0
UNLV,36.08597388,-115.0171137, MW ,1869708,1675000,0
Utah State,41.75153189,-111.8121057, MW ,1328343,1575000,0
Wyoming,41.31193599,-105.5690646, MW ,2703300,350000,0
Arizona,32.22834023,-110.9490395, P12 ,6238052,250000,0
Arizona State,33.426364,-111.932616, P12 ,8483396,300000,0
California,37.8706866,-122.2507095, P12 ,8643667,250000,0
Colorado,40.00939837,-105.2668869, P12 ,11523640,300000,0
Oregon,44.05827272,-123.0685043, P12 ,19974430,0,0
Oregon State,44.55947684,-123.2814074, P12 ,6284690,1950000,0
Stanford,37.43472641,-122.1610165, P12 ,-1,-1,0
UCLA,34.16156959,-118.1676149, P12 ,12474746,500000,0
USC,34.01400974,-118.2878959, P12 ,-1,-1,0
Utah,40.75994782,-111.848824, P12 ,16156877,350000,0
Washington,47.65043054,-122.3029198, P12 ,25335555,4100000,0
Washington State,46.73196798,-117.1605858, P12 ,9022129,300000,0
Alabama,33.20748994,-87.55039215, SEC ,36087951,4500000,1
Arkansas,36.06785079,-94.17879581, SEC ,30727290,300000,1
Auburn,32.60236167,-85.48891068, SEC ,29078311,4200000,1
Florida,29.64986868,-82.34866619, SEC ,26106819,810000,1
Georgia,33.94982149,-83.3734417, SEC ,34565701,0,1
Kentucky,38.02262168,-84.50520515, SEC ,13937802,300000,1
LSU,30.4120124,-91.18381977, SEC ,36300058,4750000,1
Mississippi State,33.4562306,-88.79342437, SEC ,-1,-1,1
Mississippi,34.3621543,-89.53414626, SEC ,17131678,1105645,1
Missouri,38.9358953,-92.33311415, SEC ,9573361,400000,1
South Carolina,33.97259115,-81.02021635, SEC ,20077639,0,1
Tennessee,35.95473437,-83.92533302, SEC ,29007816,2841560,1
Texas A&M,30.61009758,-96.34072923, SEC ,43528712,0,1
Vanderbilt,36.1435585,-86.80877209, SEC ,-1,-1,1
App State,36.2115153,-81.68550611, SUN ,3093778,1200000,1
Arkansas State,35.8489901,-90.66769494, SUN ,874220,1892480,1
Coastal Carolina,33.79283818,-79.01702283, SUN ,-1,-1,1
Georgia Southern,32.41221168,-81.7831707, SUN ,1345648,1100000,1
Georgia State,33.75761738,-84.40106034, SUN ,625614,925000,1
Louisiana Laf,30.2157961,-92.01626414, SUN ,1150476,1750000,1
Lousiana Mon,32.53106869,-92.06644075, SUN ,376941,2800000,1
South Alabama,30.67423899,-88.07563305, SUN ,-1,-1,1
Texas State,29.89134455,-97.92531181, SUN ,517094,1700000,1
Troy,31.79952742,-85.95217692, SUN ,-1,-1,1
