Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th
1-Nov-19, PHI (4-0), BOS (4-1) T2, MIA (4-1) T2, TOR (4-1) T2, MIL (3-2), ATL (2-3) T6, BRK (2-3) T6, CHO (2-3) T6, CLE (2-3) T6, IND (2-3) T6, ORL (2-3) T6, CHI (2-4) T12, DET (2-4) T12, WAS (1-3), NYK (1-5)
2-Nov-19, PHI (5-0), BOS (4-1) T2, MIA (4-1) T2, MIL (4-2) T4, TOR (4-2) T4, CHO (3-3), DET (3-4), ATL (2-3) T8, CLE (2-3) T8, IND (2-3) T8, BRK (2-4) T11, CHI (2-4) T11, ORL (2-4) T11, WAS (1-4), NYK (1-5)
3-Nov-19, PHI (5-0), MIA (5-1), BOS (4-1), MIL (4-2) T4, TOR (4-2) T4, CHO (3-3) T6, IND (3-3) T6, DET (3-4), ATL (2-3), BRK (2-4) T10, CLE (2-4) T10, ORL (2-4) T10, CHI (2-5), WAS (1-4), NYK (1-6)
4-Nov-19, MIA (5-1) T1, PHI (5-1) T1, BOS (4-1), MIL (5-2), TOR (4-2), CHO (3-3) T6, IND (3-3) T6, BRK (3-4), ATL (2-3), DET (3-5), CLE (2-4) T11, ORL (2-4) T11, WAS (2-4) T11, CHI (2-5), NYK (1-6)
5-Nov-19, BOS (5-1) T1, PHI (5-1) T1, MIA (5-2) T3, MIL (5-2) T3, TOR (4-2), CHO (4-3), ATL (3-3), BRK (3-4) T8, IND (3-4) T8, DET (3-5), WAS (2-4), CLE (2-5) T12, ORL (2-5) T12, CHI (2-6), NYK (1-6)
6-Nov-19, BOS (5-1), MIL (6-2), MIA (5-2) T3, PHI (5-2) T3, TOR (5-2) T3, CHO (4-3), IND (4-4), DET (4-5), ATL (3-4) T9, BRK (3-4) T9, CHI (3-6), CLE (2-5) T12, WAS (2-5) T12, ORL (2-6), NYK (1-7)
7-Nov-19, BOS (6-1), MIA (6-2) T2, MIL (6-2) T2, PHI (5-2) T4, TOR (5-2) T4, CHO (4-4) T6, IND (4-4) T6, DET (4-5), ATL (3-4) T9, BRK (3-4) T9, CHI (3-6), CLE (2-5) T12, WAS (2-5) T12, ORL (2-6), NYK (1-7)
8-Nov-19, BOS (6-1), TOR (6-2), MIA (6-3) T3, MIL (6-3) T3, PHI (5-3), IND (5-4), BRK (4-4) T7, CHO (4-4) T7, DET (4-6), ATL (3-5) T10, CLE (3-5) T10, CHI (3-6) T12, ORL (3-6) T12, WAS (2-6), NYK (2-7)
9-Nov-19, BOS (7-1), TOR (6-2), MIA (6-3) T3, MIL (6-3) T3, PHI (5-3), IND (5-4), BRK (4-4), CHO (4-5), DET (4-6), ATL (3-5) T10, CLE (3-5) T10, ORL (3-6), CHI (3-7), WAS (2-6), NYK (2-7)
10-Nov-19, BOS (7-1), TOR (7-2), MIL (7-3), MIA (6-3) T4, PHI (6-3) T4, IND (6-4), BRK (4-5) T7, CLE (4-5) T7, CHO (4-6) T9, DET (4-6) T9, ATL (3-6), CHI (3-7) T12, ORL (3-7) T12, WAS (2-6), NYK (2-8)
11-Nov-19, BOS (8-1), MIL (7-3) T2, TOR (7-3) T2, MIA (6-3) T4, PHI (6-3) T4, IND (6-4), BRK (4-5) T7, CLE (4-5) T7, CHO (4-6), DET (4-7), ATL (3-6), CHI (3-7) T12, ORL (3-7) T12, WAS (2-6), NYK (2-8)
12-Nov-19, BOS (8-1), MIA (7-3) T2, MIL (7-3) T2, PHI (7-3) T2, TOR (7-3) T2, IND (7-4), ATL (4-6) T7, BRK (4-6) T7, CHO (4-6) T7, CLE (4-6) T7, CHI (4-7), DET (4-8), ORL (3-7), WAS (2-6), NYK (2-9)
13-Nov-19, BOS (9-1), TOR (8-3), MIA (7-3) T3, MIL (7-3) T3, IND (7-4) T5, PHI (7-4) T5, ATL (4-6) T7, BRK (4-6) T7, CLE (4-6) T7, CHI (4-7) T10, CHO (4-7) T10, ORL (4-7) T10, DET (4-8), WAS (2-7), NYK (2-9)
14-Nov-19, BOS (9-1), MIA (8-3) T2, MIL (8-3) T2, TOR (8-3) T2, IND (7-4) T5, PHI (7-4) T5, ATL (4-7) T7, BRK (4-7) T7, CHO (4-7) T7, CLE (4-7) T7, ORL (4-7) T7, CHI (4-8) T12, DET (4-8) T12, NYK (3-9), WAS (2-7)
15-Nov-19, BOS (10-1), MIA (8-3) T2, MIL (8-3) T2, TOR (8-3) T2, IND (7-5) T5, PHI (7-5) T5, CHO (5-7) T7, ORL (5-7) T7, ATL (4-7) T9, BRK (4-7) T9, CLE (4-7) T9, CHI (4-8), DET (4-9), WAS (3-7), NYK (3-9)
16-Nov-19, BOS (10-1), MIA (9-3) T2, MIL (9-3) T2, TOR (8-4), PHI (7-5), IND (7-6), CHO (6-7), BRK (5-7) T8, ORL (5-7) T8, CLE (4-7), ATL (4-8), CHI (4-9) T12, DET (4-9) T12, WAS (3-7), NYK (3-10)
17-Nov-19, BOS (10-2), MIA (9-3) T2, MIL (9-3) T2, TOR (8-4), PHI (8-5), IND (7-6), CHO (6-7) T7, ORL (6-7) T7, BRK (5-7), CLE (4-8), ATL (4-9) T11, CHI (4-9) T11, DET (4-9) T11, WAS (3-8), NYK (3-10)
