Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,
1-Nov-19, LAL (4-1) T1, SAS (4-1) T1, MIN (3-1), LAC (4-2) T4, UTA (4-2) T4, DAL (3-2) T6, DEN (3-2) T6, HOU (3-2) T6, PHO (3-2) T6, POR (3-2) T6, MEM (1-3), GSW (1-4) T12, NOP (1-4) T12, OKC (1-4) T12, SAC (1-5),
2-Nov-19, LAL (4-1) T1, MIN (4-1) T1, SAS (4-1) T1, DEN (4-2) T4, LAC (4-2) T4, PHO (4-2) T4, UTA (4-2) T4, DAL (3-2) T8, HOU (3-2) T8, POR (3-3), OKC (2-4), MEM (1-4), GSW (1-5) T13, NOP (1-5) T13, SAC (1-5) T13,
3-Nov-19, LAL (5-1), MIN (4-1), LAC (5-2), DAL (4-2) T4, DEN (4-2) T4, PHO (4-2) T4, SAS (4-2) T4, UTA (4-3), HOU (3-3) T9, POR (3-3) T9, OKC (2-4), SAC (2-5), MEM (1-4), GSW (1-5) T14, NOP (1-5) T14,
4-Nov-19, LAL (5-1), LAC (5-2) T2, PHO (5-2) T2, DAL (4-2) T4, DEN (4-2) T4, MIN (4-2) T4, SAS (4-2) T4, HOU (4-3) T8, UTA (4-3) T8, POR (3-4), OKC (2-4), GSW (2-5) T12, SAC (2-5) T12, MEM (1-5), NOP (1-6),
5-Nov-19, LAL (6-1), DEN (5-2) T2, LAC (5-2) T2, PHO (5-2) T2, DAL (4-2) T5, MIN (4-2) T5, HOU (4-3) T7, SAS (4-3) T7, UTA (4-3) T7, OKC (3-4) T10, POR (3-4) T10, GSW (2-5) T12, SAC (2-5) T12, MEM (1-5), NOP (1-6),
6-Nov-19, LAL (6-1), DAL (5-2) T2, DEN (5-2) T2, PHO (5-2) T2, HOU (5-3) T5, LAC (5-3) T5, UTA (5-3) T5, MIN (4-3) T8, SAS (4-3) T8, OKC (3-4) T10, POR (3-4) T10, MEM (2-5), GSW (2-6) T13, SAC (2-6) T13, NOP (1-6),
7-Nov-19, LAL (6-1), DAL (5-2) T2, DEN (5-2) T2, LAC (6-3), HOU (5-3) T5, PHO (5-3) T5, SAS (5-3) T5, UTA (5-3) T5, MIN (4-3), OKC (3-5) T10, POR (3-5) T10, MEM (2-5), GSW (2-6) T13, SAC (2-6) T13, NOP (1-6),
8-Nov-19, LAL (7-1), DEN (6-2), LAC (6-3) T3, UTA (6-3) T3, DAL (5-3) T5, HOU (5-3) T5, MIN (5-3) T5, PHO (5-3) T5, SAS (5-3) T5, OKC (3-5), POR (3-6) T11, SAC (3-6) T11, MEM (2-6), GSW (2-7), NOP (1-7),
9-Nov-19, LAL (7-1), DEN (6-2), DAL (6-3) T3, HOU (6-3) T3, LAC (6-3) T3, UTA (6-3) T3, MIN (5-3) T7, PHO (5-3) T7, SAS (5-4), OKC (4-5), POR (3-6) T11, SAC (3-6) T11, MEM (2-7) T13, NOP (2-7) T13, GSW (2-8),
10-Nov-19, DEN (7-2) T1, LAL (7-2) T1, DAL (6-3) T3, HOU (6-3) T3, LAC (6-3) T3, PHO (6-3) T3, UTA (6-3) T3, MIN (5-4) T8, SAS (5-4) T8, OKC (4-6) T10, POR (4-6) T10, SAC (3-6), MEM (2-7) T13, NOP (2-7) T13, GSW (2-8),
11-Nov-19, DEN (7-2) T1, LAL (7-2) T1, HOU (7-3) T3, LAC (7-3) T3, UTA (7-3) T3, PHO (6-3), DAL (6-4) T7, MIN (6-4) T7, SAS (5-5), OKC (4-6) T10, POR (4-6) T10, SAC (3-6), MEM (3-7), NOP (2-8), GSW (2-9),
12-Nov-19, LAL (8-2), UTA (8-3), DEN (7-3) T3, HOU (7-3) T3, LAC (7-3) T3, DAL (6-4) T6, MIN (6-4) T6, PHO (6-4) T6, SAS (5-5), SAC (4-6), OKC (4-7) T11, POR (4-7) T11, MEM (3-7), NOP (2-8), GSW (2-9),
13-Nov-19, LAL (9-2), HOU (8-3) T2, UTA (8-3) T2, DEN (7-3), LAC (7-4) T5, MIN (7-4) T5, DAL (6-4) T7, PHO (6-4) T7, SAS (5-6), SAC (4-6), MEM (4-7) T11, OKC (4-7) T11, POR (4-8), NOP (2-8), GSW (2-10),
14-Nov-19, LAL (9-2), DEN (8-3) T2, HOU (8-3) T2, UTA (8-3) T2, MIN (7-4) T5, PHO (7-4) T5, LAC (7-5), DAL (6-5), SAS (5-6), SAC (4-6), MEM (4-7) T11, OKC (4-7) T11, POR (4-8), NOP (3-8), GSW (2-10),
15-Nov-19, LAL (10-2), HOU (9-3), DEN (8-3), UTA (8-4), PHO (7-4), LAC (7-5) T6, MIN (7-5) T6, DAL (6-5), MEM (5-7) T9, OKC (5-7) T9, SAS (5-7) T9, SAC (4-7), POR (4-8), NOP (3-8), GSW (2-11),
