Player,Pos,Tm,Pts,Wins,ClutchTS,ClutchPts,OPIPM,DPIPM,PIPM,ORPM,DRPM,RPM,OffRtg,DefRtg,NetRtg,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G,MP
Giannis Antetokounmpo,PF,MIL,0.76744186,1,0.675544794,0.559193955,0.628571429,0.867924528,1,0.490196078,0.780254777,0.855365474,0.57037037,1,0.923529412,1,0.791208791,0.383116883,0.821705426,0.702020202,0.595959596,0.4,0.611111111,0.661157025,0.745098039,0.926829268,0.924528302,1,0.566371681,1,0.919642857,0.722891566,72,0.778731836
James Harden,PG,HOU,1,0.75,0.556900726,1,1,0,0.727272727,1,0.265923567,1,0.785185185,0.261904762,0.547058824,0.982758621,0.637362637,0.071428571,0.348837209,0.227272727,0.828282828,0.85,0.203703704,1,1,0.487804878,1,0.806930693,1,0.402985075,1,1,78,0.94682959
Anthony Davis,C,NOP,0.669767442,0.035714286,0.246973366,0.496221662,0.5,0.716981132,0.766233766,0.395833333,0.757961783,0.713841369,0.555555556,0.26984127,0.370588235,0.965517241,0.532967033,0.551948052,0.724806202,0.671717172,0.310606061,0.6,1,0.545454545,0.5,0.341463415,0.462264151,0.767326733,0.477876106,0.820895522,0.714285714,0.397590361,56,0.610964333
Nikola Jokic,C,DEN,0.427906977,0.785714286,0.481840194,0.405541562,0.442857143,0.490566038,0.558441558,0.571078431,0.592356688,0.774494557,0.525925926,0.531746032,0.541176471,0.74137931,0.494505495,0.545454545,0.728682171,0.666666667,0.772727273,0.55,0.259259259,0.454545455,0.617647059,0.609756098,0.669811321,0.673267327,0.575221239,0.805970149,0.8125,0.686746988,79,0.814729194
Karl-Anthony Towns,C,MIN,0.590697674,0.142857143,0.292978208,0.324937028,0.414285714,0.301886792,0.402597403,0.427696078,0.402866242,0.407465008,0.459259259,0.214285714,0.252941176,0.735632184,0.67032967,0.623376623,0.794573643,0.737373737,0.262626263,0.15,0.666666667,0.520661157,0.578431373,0.365853659,0.547169811,0.51980198,0.486725664,0.52238806,0.5625,0.481927711,77,0.840488771
Joel Embiid,C,PHI,0.720930233,0.678571429,0.479418886,0.56675063,0.471428571,0.773584906,0.779220779,0.359068627,0.654458599,0.566096423,0.422222222,0.777777778,0.641176471,0.724137931,0.510989011,0.435064935,0.976744186,0.803030303,0.297979798,0,0.722222222,0.702479339,0.362745098,0.512195122,0.386792453,0.504950495,0.238938053,0.567164179,0.330357143,0.21686747,64,0.711360634
Kawhi Leonard,SF,TOR,0.665116279,0.928571429,0.489104116,0.707808564,0.542857143,0.283018868,0.493506494,0.422794118,0.22133758,0.223950233,0.696296296,0.468253968,0.629411765,0.706896552,0.582417582,0.181818182,0.379844961,0.308080808,0.244949495,0.75,0.074074074,0.578512397,0.480392157,0.390243902,0.462264151,0.653465347,0.442477876,0.343283582,0.401785714,0.240963855,60,0.673712021
LeBron James,SF,LAL,0.655813953,0.178571429,0.433414044,0.740554156,0.5,0.433962264,0.571428571,0.528186275,0.550955414,0.67962675,0.251851852,0.492063492,0.294117647,0.695402299,0.483516484,0.11038961,0.484496124,0.348484848,0.825757576,0.35,0.148148148,0.632231405,0.333333333,0.219512195,0.254716981,0.435643564,0.610619469,0.52238806,0.678571429,0.397590361,55,0.639696169
Nikola Vucevic,C,ORL,0.465116279,0.357142857,0.111380145,0.246851385,0.4,0.660377358,0.636363636,0.305147059,0.835987261,0.67496112,0.303703704,0.595238095,0.411764706,0.683908046,0.401098901,0.519480519,0.891472868,0.752525253,0.386363636,0.3,0.444444444,0.483471074,0.401960784,0.731707317,0.518867925,0.5,0.327433628,0.746268657,0.526785714,0.445783133,80,0.828929987
Rudy Gobert,C,UTA,0.186046512,0.642857143,0.87409201,0.324937028,0.171428571,1,0.662337662,0.118872549,1,0.598755832,0.311111111,0.80952381,0.576470588,0.637931034,1,0.772727273,0.829457364,0.828282828,0.073232323,0.1,0.962962963,0.061983471,0.725490196,1,0.933962264,0.876237624,0.238938053,1,0.589285714,0.518072289,81,0.851056803
Stephen Curry,PG,GSW,0.706976744,0.892857143,0.723970944,0.765743073,0.928571429,0.396226415,0.922077922,0.797794118,0.332802548,0.808709176,1,0.634920635,1,0.626436782,0.774725275,0.051948052,0.209302326,0.146464646,0.441919192,0.45,0.055555556,0.582644628,0.578431373,0.195121951,0.490566038,0.53960396,0.743362832,0.029850746,0.517857143,0.397590361,69,0.769815059
